site_name,visit,farm_miner,farm_GCS,farm_dam_GCS,farm_lecan_GCS,farm_helmet,farm_flat,farm_vine,farm_CBB,farm_CBB_den,farm_roya,farm_lecani,farm_lecani_den,farm_myco,farm_myco_den,farm_snail,farm_snail_den,farm_mite,farm_mite_den,farm_miner_error,farm_GCS_error,farm_dam_GCS_error,farm_lecan_GCS_error,farm_helmet_error,farm_flat_error,farm_vine_error,farm_CBB_error,farm_CBB_den_error,farm_roya_error,farm_lecani_error,farm_lecani_den_error,farm_myco_error,farm_myco_den_error,farm_snail_error,farm_snail_den_error,farm_mite_error,farm_mite_den_error,site,for_100,for_200,for_300,for_400,for_500,for_600,for_700,for_800,for_900,for_1000,for_1100,for_1200,for_1300,for_1400,for_1500,agr_100,agr_200,agr_300,agr_400,agr_500,agr_600,agr_700,agr_800,agr_900,agr_1000,agr_1100,agr_1200,agr_1300,agr_1400,agr_1500,pas_100,pas_200,pas_300,pas_400,pas_500,pas_600,pas_700,pas_800,pas_900,pas_1000,pas_1100,pas_1200,pas_1300,pas_1400,pas_1500,dev_100,dev_200,dev_300,dev_400,dev_500,dev_600,dev_700,dev_800,dev_900,dev_1000,dev_1100,dev_1200,dev_1300,dev_1400,dev_1500
ADJU7,1,2.7,0,0.25,1.5,1.4,18.35,18.9,4.7,5,17.3,1.5,0.143946509,0,0,0,0,0,0,1.033899109,0,0.17584383,0.53064013,0.504714615,3.569811288,7.413678681,1.172267259,3.468656649,5.67964973,0.387298335,0.05132671,0,0,0,0,0,0,ADJU7,0.18,0.143712575,0.117816092,0.151067323,0.192513369,0.256797583,0.288740245,0.322289157,0.353223594,0.39883106,0.429428044,0.45376679,0.478709248,0.509753299,0.540930174,0.4,0.251497006,0.264367816,0.275862069,0.245989305,0.213746224,0.239687848,0.264199656,0.269547325,0.255775118,0.242619926,0.227175394,0.213572854,0.195065978,0.177008901,0,0.035928144,0.031609195,0.024630542,0.035294118,0.049848943,0.061315496,0.055077453,0.063100137,0.067353187,0.073339483,0.087794433,0.093812375,0.094951234,0.092515983,0.12,0.155688623,0.155172414,0.10180624,0.081283422,0.086858006,0.086956522,0.083476764,0.077846365,0.072641247,0.068957565,0.065991824,0.064371257,0.061962134,0.062304124
ADJU8,1,9.1,3.5,2.35,0.65,1.1,8.75,37.05,7.1,1.15,135.75,0.05,0.002,1.1,0.044,0,0,0.25,0.01,1.123668803,0.582643703,0.405715742,0.220942955,0.228265773,1.502410344,8.592369626,3.768917198,1.15,15.55683553,0.05,0.002,0.347169002,0.01388676,0,0,0.123010483,0.004920419,ADJU8,0.326086957,0.445783133,0.464589235,0.472636816,0.510729614,0.555639098,0.610768368,0.654177433,0.698428962,0.726462396,0.75786309,0.778663039,0.779531484,0.77341954,0.770655984,0.5,0.451807229,0.436260623,0.407960199,0.35944206,0.326315789,0.286595625,0.240310078,0.201502732,0.178551532,0.153561517,0.139525845,0.139225785,0.141954023,0.140210315,0.152173913,0.06626506,0.067988669,0.07628524,0.089055794,0.080451128,0.066741447,0.066752799,0.06045082,0.055431755,0.050878816,0.043917606,0.04186742,0.040948276,0.041937907,0.02173913,0.036144578,0.031161473,0.043117745,0.040772532,0.037593985,0.03589456,0.03875969,0.039617486,0.039554318,0.037696577,0.03789351,0.039375312,0.043678161,0.047195794
JAYU2,1,23.35,6.65,3.5,0.75,4,5.5,3.1,1.6,10.75,32.25,0,0,1.15,0.055559524,0,0,0.35,0.020267857,3.093520393,0.637738603,0.359092423,0.17584383,0.615587011,1.212869586,2.019510102,0.871779789,5.15694473,7.759162665,0,0,0.318508035,0.014108638,0,0,0.166622801,0.009417047,JAYU2,0.34,0.383233533,0.467048711,0.5,0.532620321,0.571428571,0.574539363,0.588716624,0.610082305,0.635883171,0.669741697,0.704943558,0.729599468,0.746484935,0.759969902,0.4,0.239520958,0.186246418,0.156862745,0.14973262,0.148148148,0.151870463,0.149870801,0.145747599,0.125730181,0.107933579,0.092253795,0.078942995,0.068436155,0.060697266,0.02,0.161676647,0.151862464,0.150326797,0.131550802,0.108843537,0.113902848,0.107665805,0.103909465,0.114047288,0.109778598,0.099260413,0.092737244,0.09010043,0.085653373,0.24,0.215568862,0.194842407,0.192810458,0.185026738,0.170823885,0.159128978,0.153316107,0.139231824,0.123504868,0.111854244,0.10295835,0.096559747,0.089670014,0.084524705
JAYU3,1,21.15,0,0,0,0,14.5,0.15,0,3.55,15.65,0,0,0.5,0.027765327,0,0,0,0,4.8238852,0,0,0,0,2.720777753,0.15,0,3.55,2.324101411,0,0,0.246020966,0.012880104,0,0,0,0,JAYU3,0.066666667,0.210526316,0.222535211,0.203642384,0.261472785,0.336850038,0.407511211,0.487510767,0.557108762,0.613047115,0.654646325,0.682400932,0.699567963,0.705476498,0.714589856,0.4,0.298245614,0.304225352,0.329470199,0.305229456,0.263752826,0.226457399,0.186907838,0.158881691,0.13381656,0.111650485,0.093822844,0.080259222,0.069570217,0.062116468,0.2,0.192982456,0.163380282,0.152317881,0.147278549,0.147701583,0.143497758,0.126614987,0.110126151,0.100641204,0.097318539,0.095182595,0.096876039,0.099468162,0.1014402,0.333333333,0.298245614,0.309859155,0.312913907,0.283884739,0.250188395,0.221412556,0.198105082,0.172860552,0.151658768,0.13569117,0.128010878,0.121967431,0.117004456,0.109705698
JUAN1,1,29.35,0.25,0.45,0.4,0,0.05,0,18.8,28.55,0,0,0,0,0,0,0,0,0,3.892147966,0.203586268,0.311828225,0.284697439,0,0.05,0,4.722064669,5.751189808,0,0,0,0,0,0,0,0,0,JUAN1,1,0.959302326,0.898016997,0.820598007,0.85042735,0.833082707,0.81369248,0.795689655,0.793585807,0.808314732,0.820743821,0.826179841,0.817184644,0.812904153,0.807711567,0,0.005813953,0.053824363,0.134551495,0.098290598,0.077443609,0.066217733,0.071551724,0.07062436,0.063895089,0.056133056,0.051854729,0.049526342,0.043540739,0.038557837,0,0,0.014164306,0.019933555,0.020299145,0.030827068,0.030864198,0.030172414,0.029682702,0.02734375,0.028875029,0.03146242,0.036729267,0.039660871,0.039434151,0,0.034883721,0.033994334,0.024916944,0.030982906,0.039849624,0.042648709,0.044396552,0.042988741,0.039341518,0.033957034,0.032433482,0.032740568,0.031901135,0.033800701
JUAN7*,1,89.35,0.3,0.05,0.15,0,3.6,0,3.6,14.3,3.15,0,0,0,0,0,0,0,0,15.79594801,0.3,0.05,0.15,0,1.227749332,0,0.993134326,5.115559341,1.332340639,0,0,0,0,0,0,0,0,JUAN7*,0.711538462,0.754491018,0.727011494,0.806557377,0.849946409,0.861782477,0.877232143,0.895098882,0.901543739,0.910356347,0.913093592,0.909232567,0.907216495,0.898263739,0.884350332,0,0,0,0,0,0.013595166,0.010602679,0.009458298,0.009262436,0.008073497,0.008298755,0.009154655,0.008979049,0.009040034,0.01190327,0,0.005988024,0.025862069,0.026229508,0.027867095,0.024169184,0.027901786,0.024505589,0.026758148,0.02422049,0.022591056,0.021231009,0.020119721,0.021954369,0.025059516,0.288461538,0.239520958,0.247126437,0.167213115,0.122186495,0.100453172,0.084263393,0.070937231,0.062092624,0.054008909,0.0472568,0.044215037,0.041569671,0.042043335,0.044104749
LASM1*,1,18.3,1.15,0.65,1.35,0,4.65,0.5,5.85,2.55,0,0,0,0,0,0,0,0,0,3.439782735,0.539370979,0.35,0.689297888,0,1.238154399,0.294689846,1.54114619,1.885505656,0,0,0,0,0,0,0,0,0,LASM1*,0.47826087,0.668674699,0.730878187,0.766169154,0.7972103,0.822556391,0.826233184,0.855665661,0.867144809,0.872737399,0.871213873,0.870359572,0.865924572,0.866647507,0.865138993,0.5,0.21686747,0.158640227,0.127694859,0.096566524,0.087969925,0.091928251,0.07367514,0.058401639,0.049011417,0.045317919,0.043537415,0.041535139,0.037936485,0.035812672,0,0.060240964,0.04815864,0.044776119,0.033261803,0.02481203,0.019058296,0.015941405,0.025956284,0.026455026,0.026589595,0.026627794,0.026748629,0.028739761,0.029551716,0.02173913,0.054216867,0.062322946,0.061359867,0.072961373,0.064661654,0.062780269,0.054717794,0.048497268,0.051796157,0.056878613,0.059475219,0.06579166,0.066676247,0.069496619
LASM2,1,11,0,0,0,0,7.85,2.5,1.15,4.9,19.1,0.3,0.013333333,0.2,0.022333333,0,0,1,0.052547619,2.268781263,0,0,0,0,1.55305302,1.175405865,0.715523364,3.277434812,3.842217014,0.163835604,0.006975312,0.091766294,0.012670129,0,0,0.429197538,0.021498945,LASM2,0.692307692,0.634730539,0.676217765,0.729064039,0.758029979,0.782477341,0.808486879,0.827526882,0.842827728,0.853882549,0.861361015,0.86540709,0.872984206,0.876470588,0.87720837,0.173076923,0.05988024,0.042979943,0.042692939,0.052462527,0.060422961,0.046901173,0.043010753,0.036032944,0.02922349,0.024221453,0.020451889,0.018121363,0.020373027,0.021425886,0.057692308,0.161676647,0.169054441,0.128078818,0.096359743,0.075528701,0.06811837,0.061505376,0.055936857,0.052323963,0.051903114,0.052006233,0.049044057,0.045767575,0.046360105,0.076923077,0.143712575,0.111747851,0.100164204,0.093147752,0.081570997,0.076493579,0.067956989,0.065202471,0.064569997,0.062514418,0.062134788,0.059850374,0.057388809,0.055005638
LASM3,1,12.3,0.3,0.3,0.1,0,8.2,27,1,7.55,42.65,1.9,0.078545455,0.85,0.034,0,0,0.55,0.022,2.058486925,0.3,0.3,0.1,0,1.261995079,7.766324064,0.453059773,3.61973756,5.297106956,0.517585487,0.020626803,0.264326353,0.010573054,0,0,0.245753407,0.009830136,LASM3,0.480769231,0.656626506,0.776504298,0.803278689,0.819935691,0.827403482,0.827374302,0.829320722,0.844596913,0.864028977,0.878341014,0.886053759,0.889276808,0.880074595,0.874702418,0,0.036144578,0.028653295,0.045901639,0.045016077,0.048448145,0.046368715,0.041272571,0.03567753,0.02925606,0.025115207,0.023763148,0.023773899,0.026681968,0.028818444,0.423076923,0.21686747,0.111747851,0.067213115,0.046087889,0.045420136,0.053631285,0.054600172,0.048370497,0.040679855,0.035023041,0.030385664,0.029093932,0.029694448,0.030697908,0.096153846,0.090361446,0.083094556,0.083606557,0.088960343,0.078728236,0.072625698,0.074806535,0.07135506,0.066035107,0.061520737,0.059797429,0.057855362,0.063548989,0.06578123
MARI2*,1,8.9,0.3,1.35,3.5,0.2,0.7,0.25,33.5,7.65,16.35,0.05,0.002380952,0.35,0.014,0,0,0.05,0.002,1.567599573,0.163835604,0.318508035,0.847597223,0.2,0.193309133,0.25,7.681317047,4.280478945,6.64287311,0.05,0.002380952,0.30153118,0.012061247,0,0,0.05,0.002,MARI2*,0.217391304,0.379518072,0.386363636,0.468438538,0.540860215,0.589917231,0.645378151,0.684754522,0.705119454,0.717191418,0.728029602,0.736637512,0.740156172,0.742746337,0.743862725,0.782608696,0.614457831,0.588068182,0.490033223,0.405376344,0.331828442,0.265546218,0.220068906,0.195904437,0.181387573,0.173913043,0.172206025,0.166805117,0.161591497,0.155936874,0,0.006024096,0.014204545,0.021594684,0.021505376,0.027840482,0.033053221,0.035745047,0.039590444,0.038450822,0.037234043,0.033041788,0.031068284,0.029589199,0.031563126,0,0,0.011363636,0.019933555,0.032258065,0.050413845,0.056022409,0.058570198,0.055972696,0.055725829,0.054116559,0.051311953,0.054327961,0.05486929,0.054108216
