VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
-9999,NoData,255,255,255,1,1,1
11,Open Water,0,0,255,0,0,1
12,Snow/Ice,159,161,240,0.623529,0.631373,0.941176
13,Developed-Upland Deciduous Forest,64,61,168,0.25098,0.239216,0.658824
14,Developed-Upland Evergreen Forest,68,79,137,0.266667,0.309804,0.537255
15,Developed-Upland Mixed Forest,102,119,205,0.4,0.466667,0.803922
16,Developed-Upland Herbaceous,122,142,245,0.478431,0.556863,0.960784
17,Developed-Upland Shrubland,158,170,215,0.619608,0.666667,0.843137
21,Developed - Open Space,253,204,211,0.992157,0.8,0.827451
22,Developed-Low Intensity,255,122,143,1,0.478431,0.560784
23,Developed-Medium Intensity,253,44,79,0.992157,0.172549,0.309804
24,Developed-High Intensity,173,0,28,0.678431,0,0.109804
25,Developed-Roads,1,1,1,0.003921,0.003921,0.003921
31,Barren,191,191,191,0.74902,0.74902,0.74902
32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,0.901961,0.909804,0.980392
61,NASS-Vineyard,168,0,132,0.658824,0,0.517647
63,NASS-Row Crop-Close Grown Crop,255,245,140,1,0.960784,0.54902
64,NASS-Row Crop,250,255,119,0.980392,1,0.466667
65,NASS-Close Grown Crop,255,237,119,1,0.929412,0.466667
68,NASS-Wheat,250,227,163,0.980392,0.890196,0.639216
69,NASS-Aquaculture,210,255,237,0.823529,1,0.929412
100,Sparse Vegetation Canopy,122,127,117,0.478431,0.498039,0.458824
110,Tree Cover = 10%,204,255,153,0.8,1,0.6
111,Tree Cover = 11%,202,252,151,0.792156863,0.988235294,0.592156863
112,Tree Cover = 12%,199,250,147,0.780392157,0.980392157,0.576470588
113,Tree Cover = 13%,194,247,143,0.760784314,0.968627451,0.560784314
114,Tree Cover = 14%,192,245,142,0.752941176,0.960784314,0.556862745
115,Tree Cover = 15%,188,242,138,0.737254902,0.949019608,0.541176471
116,Tree Cover = 16%,183,240,134,0.717647059,0.941176471,0.525490196
117,Tree Cover = 17%,181,237,133,0.709803922,0.929411765,0.521568627
118,Tree Cover = 18%,178,235,129,0.698039216,0.921568627,0.505882353
119,Tree Cover = 19%,173,232,125,0.678431373,0.909803922,0.490196078
120,Tree Cover = 20%,173,232,125,0.678431373,0.909803922,0.490196078
121,Tree Cover = 21%,170,230,122,0.666666667,0.901960784,0.478431373
122,Tree Cover = 22%,165,227,118,0.647058824,0.890196078,0.462745098
123,Tree Cover = 23%,163,224,117,0.639215686,0.878431373,0.458823529
124,Tree Cover = 24%,160,222,113,0.62745098,0.870588235,0.443137255
125,Tree Cover = 25%,155,219,110,0.607843137,0.858823529,0.431372549
126,Tree Cover = 26%,154,217,108,0.603921569,0.850980392,0.423529412
127,Tree Cover = 27%,150,214,105,0.588235294,0.839215686,0.411764706
128,Tree Cover = 28%,146,212,102,0.57254902,0.831372549,0.4
129,Tree Cover = 29%,144,209,100,0.564705882,0.819607843,0.392156863
130,Tree Cover = 30%,143,209,98,0.560784314,0.819607843,0.384313725
131,Tree Cover = 31%,138,207,95,0.541176471,0.811764706,0.37254902
132,Tree Cover = 32%,136,204,94,0.533333333,0.8,0.368627451
133,Tree Cover = 33%,133,201,91,0.521568627,0.788235294,0.356862745
134,Tree Cover = 34%,128,199,88,0.501960784,0.780392157,0.345098039
135,Tree Cover = 35%,127,196,86,0.498039216,0.768627451,0.337254902
136,Tree Cover = 36%,124,194,83,0.48627451,0.760784314,0.325490196
137,Tree Cover = 37%,119,191,80,0.466666667,0.749019608,0.31372549
138,Tree Cover = 38%,118,189,79,0.462745098,0.741176471,0.309803922
139,Tree Cover = 39%,115,186,76,0.450980392,0.729411765,0.298039216
140,Tree Cover = 40%,112,186,74,0.439215686,0.729411765,0.290196078
141,Tree Cover = 41%,110,184,73,0.431372549,0.721568627,0.28627451
142,Tree Cover = 42%,107,181,71,0.419607843,0.709803922,0.278431373
143,Tree Cover = 43%,103,179,68,0.403921569,0.701960784,0.266666667
144,Tree Cover = 44%,101,176,67,0.396078431,0.690196078,0.262745098
145,Tree Cover = 45%,99,173,64,0.388235294,0.678431373,0.250980392
146,Tree Cover = 46%,94,171,62,0.368627451,0.670588235,0.243137255
147,Tree Cover = 47%,93,168,61,0.364705882,0.658823529,0.239215686
148,Tree Cover = 48%,90,166,58,0.352941176,0.650980392,0.22745098
149,Tree Cover = 49%,86,163,55,0.337254902,0.639215686,0.215686275
150,Tree Cover = 50%,86,163,55,0.337254902,0.639215686,0.215686275
151,Tree Cover = 51%,84,161,53,0.329411765,0.631372549,0.207843137
152,Tree Cover = 52%,79,158,51,0.309803922,0.619607843,0.2
153,Tree Cover = 53%,78,156,50,0.305882353,0.611764706,0.196078431
154,Tree Cover = 54%,76,153,47,0.298039216,0.6,0.184313725
155,Tree Cover = 55%,71,150,45,0.278431373,0.588235294,0.176470588
156,Tree Cover = 56%,69,148,43,0.270588235,0.580392157,0.168627451
157,Tree Cover = 57%,68,145,42,0.266666667,0.568627451,0.164705882
158,Tree Cover = 58%,64,143,40,0.250980392,0.560784314,0.156862745
159,Tree Cover = 59%,62,140,38,0.243137255,0.549019608,0.149019608
160,Tree Cover = 60%,62,140,38,0.243137255,0.549019608,0.149019608
161,Tree Cover = 61%,58,138,36,0.22745098,0.541176471,0.141176471
162,Tree Cover = 62%,56,135,34,0.219607843,0.529411765,0.133333333
163,Tree Cover = 63%,55,133,33,0.215686275,0.521568627,0.129411765
164,Tree Cover = 64%,51,130,31,0.2,0.509803922,0.121568627
165,Tree Cover = 65%,49,128,29,0.192156863,0.501960784,0.11372549
166,Tree Cover = 66%,48,125,29,0.188235294,0.490196078,0.11372549
167,Tree Cover = 67%,44,122,27,0.17254902,0.478431373,0.105882353
168,Tree Cover = 68%,43,120,25,0.168627451,0.470588235,0.098039216
169,Tree Cover = 69%,42,117,25,0.164705882,0.458823529,0.098039216
170,Tree Cover = 70%,39,117,23,0.152941176,0.458823529,0.090196078
171,Tree Cover = 71%,37,115,22,0.145098039,0.450980392,0.08627451
172,Tree Cover = 72%,36,112,21,0.141176471,0.439215686,0.082352941
173,Tree Cover = 73%,33,110,20,0.129411765,0.431372549,0.078431373
174,Tree Cover = 74%,32,107,18,0.125490196,0.419607843,0.070588235
175,Tree Cover = 75%,31,105,18,0.121568627,0.411764706,0.070588235
176,Tree Cover = 76%,28,102,16,0.109803922,0.4,0.062745098
177,Tree Cover = 77%,26,99,15,0.101960784,0.388235294,0.058823529
178,Tree Cover = 78%,26,97,15,0.101960784,0.380392157,0.058823529
179,Tree Cover = 79%,23,94,13,0.090196078,0.368627451,0.050980392
180,Tree Cover = 80%,22,94,12,0.08627451,0.368627451,0.047058824
181,Tree Cover = 81%,21,92,12,0.082352941,0.360784314,0.047058824
182,Tree Cover = 82%,19,89,11,0.074509804,0.349019608,0.043137255
183,Tree Cover = 83%,17,87,10,0.066666667,0.341176471,0.039215686
184,Tree Cover = 84%,17,84,9,0.066666667,0.329411765,0.035294118
185,Tree Cover = 85%,14,82,8,0.054901961,0.321568627,0.031372549
186,Tree Cover = 86%,13,79,7,0.050980392,0.309803922,0.02745098
187,Tree Cover = 87%,13,77,7,0.050980392,0.301960784,0.02745098
188,Tree Cover = 88%,10,74,6,0.039215686,0.290196078,0.023529412
189,Tree Cover = 89%,9,71,5,0.035294118,0.278431373,0.019607843
190,Tree Cover = 90%,9,71,5,0.035294118,0.278431373,0.019607843
191,Tree Cover = 91%,7,69,4,0.02745098,0.270588235,0.015686275
192,Tree Cover = 92%,6,66,3,0.023529412,0.258823529,0.011764706
193,Tree Cover = 93%,6,64,3,0.023529412,0.250980392,0.011764706
194,Tree Cover = 94%,4,61,2,0.015686275,0.239215686,0.007843137
195,Tree Cover = 95%,4,59,2,0.015686275,0.231372549,0.007843137
196,Tree Cover = 96%,3,56,2,0.011764706,0.219607843,0.007843137
197,Tree Cover = 97%,2,54,1,0.007843137,0.211764706,0.003921569
198,Tree Cover = 98%,1,51,1,0.003921569,0.2,0.003921569
199,Tree Cover >= 99%,0,51,0,0,0.2,0
210,Shrub Cover = 10%,212,178,125,0.831372549,0.698039216,0.490196078
211,Shrub Cover = 11%,212,176,123,0.831372549,0.690196078,0.482352941
212,Shrub Cover = 12%,212,175,123,0.831372549,0.68627451,0.482352941
213,Shrub Cover = 13%,212,174,121,0.831372549,0.682352941,0.474509804
214,Shrub Cover = 14%,209,170,119,0.819607843,0.666666667,0.466666667
215,Shrub Cover = 15%,209,168,117,0.819607843,0.658823529,0.458823529
216,Shrub Cover = 16%,209,166,117,0.819607843,0.650980392,0.458823529
217,Shrub Cover = 17%,209,165,115,0.819607843,0.647058824,0.450980392
218,Shrub Cover = 18%,209,164,115,0.819607843,0.643137255,0.450980392
219,Shrub Cover = 19%,209,161,113,0.819607843,0.631372549,0.443137255
220,Shrub Cover = 20%,207,159,112,0.811764706,0.623529412,0.439215686
221,Shrub Cover = 21%,207,156,109,0.811764706,0.611764706,0.42745098
222,Shrub Cover = 22%,207,155,109,0.811764706,0.607843137,0.42745098
223,Shrub Cover = 23%,207,154,107,0.811764706,0.603921569,0.419607843
224,Shrub Cover = 24%,207,152,107,0.811764706,0.596078431,0.419607843
225,Shrub Cover = 25%,207,151,105,0.811764706,0.592156863,0.411764706
226,Shrub Cover = 26%,204,147,104,0.8,0.576470588,0.407843137
227,Shrub Cover = 27%,204,146,102,0.8,0.57254902,0.4
228,Shrub Cover = 28%,204,145,102,0.8,0.568627451,0.4
229,Shrub Cover = 29%,204,142,100,0.8,0.556862745,0.392156863
230,Shrub Cover = 30%,204,142,100,0.8,0.556862745,0.392156863
231,Shrub Cover = 31%,201,137,97,0.788235294,0.537254902,0.380392157
232,Shrub Cover = 32%,201,137,97,0.788235294,0.537254902,0.380392157
233,Shrub Cover = 33%,201,134,95,0.788235294,0.525490196,0.37254902
234,Shrub Cover = 34%,201,134,95,0.788235294,0.525490196,0.37254902
235,Shrub Cover = 35%,201,132,95,0.788235294,0.517647059,0.37254902
236,Shrub Cover = 36%,199,129,91,0.780392157,0.505882353,0.356862745
237,Shrub Cover = 37%,199,127,91,0.780392157,0.498039216,0.356862745
238,Shrub Cover = 38%,199,126,90,0.780392157,0.494117647,0.352941176
239,Shrub Cover = 39%,199,126,90,0.780392157,0.494117647,0.352941176
240,Shrub Cover = 40%,199,123,88,0.780392157,0.482352941,0.345098039
241,Shrub Cover = 41%,196,121,86,0.768627451,0.474509804,0.337254902
242,Shrub Cover = 42%,196,118,84,0.768627451,0.462745098,0.329411765
243,Shrub Cover = 43%,196,118,84,0.768627451,0.462745098,0.329411765
244,Shrub Cover = 44%,196,115,82,0.768627451,0.450980392,0.321568627
245,Shrub Cover = 45%,196,115,82,0.768627451,0.450980392,0.321568627
246,Shrub Cover = 46%,194,110,79,0.760784314,0.431372549,0.309803922
247,Shrub Cover = 47%,194,110,79,0.760784314,0.431372549,0.309803922
248,Shrub Cover = 48%,194,110,79,0.760784314,0.431372549,0.309803922
249,Shrub Cover = 49%,194,107,78,0.760784314,0.419607843,0.305882353
250,Shrub Cover = 50%,191,105,77,0.749019608,0.411764706,0.301960784
251,Shrub Cover = 51%,191,102,75,0.749019608,0.4,0.294117647
252,Shrub Cover = 52%,191,102,75,0.749019608,0.4,0.294117647
253,Shrub Cover = 53%,191,100,73,0.749019608,0.392156863,0.28627451
254,Shrub Cover = 54%,189,97,72,0.741176471,0.380392157,0.282352941
255,Shrub Cover = 55%,189,96,70,0.741176471,0.376470588,0.274509804
256,Shrub Cover = 56%,189,94,70,0.741176471,0.368627451,0.274509804
257,Shrub Cover = 57%,189,94,70,0.741176471,0.368627451,0.274509804
258,Shrub Cover = 58%,189,92,68,0.741176471,0.360784314,0.266666667
259,Shrub Cover = 59%,186,89,67,0.729411765,0.349019608,0.262745098
260,Shrub Cover = 60%,186,87,65,0.729411765,0.341176471,0.254901961
261,Shrub Cover = 61%,186,85,65,0.729411765,0.333333333,0.254901961
262,Shrub Cover = 62%,186,84,63,0.729411765,0.329411765,0.247058824
263,Shrub Cover = 63%,184,83,62,0.721568627,0.325490196,0.243137255
264,Shrub Cover = 64%,184,81,62,0.721568627,0.317647059,0.243137255
265,Shrub Cover = 65%,184,79,61,0.721568627,0.309803922,0.239215686
266,Shrub Cover = 66%,181,76,60,0.709803922,0.298039216,0.235294118
267,Shrub Cover = 67%,181,74,58,0.709803922,0.290196078,0.22745098
268,Shrub Cover = 68%,181,74,58,0.709803922,0.290196078,0.22745098
269,Shrub Cover = 69%,181,72,58,0.709803922,0.282352941,0.22745098
270,Shrub Cover = 70%,179,70,55,0.701960784,0.274509804,0.215686275
271,Shrub Cover = 71%,179,68,55,0.701960784,0.266666667,0.215686275
272,Shrub Cover = 72%,179,66,54,0.701960784,0.258823529,0.211764706
273,Shrub Cover = 73%,179,64,54,0.701960784,0.250980392,0.211764706
274,Shrub Cover = 74%,176,63,53,0.690196078,0.247058824,0.207843137
275,Shrub Cover = 75%,176,61,51,0.690196078,0.239215686,0.2
276,Shrub Cover = 76%,176,59,51,0.690196078,0.231372549,0.2
277,Shrub Cover = 77%,176,58,49,0.690196078,0.22745098,0.192156863
278,Shrub Cover = 78%,173,55,49,0.678431373,0.215686275,0.192156863
279,Shrub Cover = 79%,173,55,49,0.678431373,0.215686275,0.192156863
280,Shrub Cover = 80%,173,51,47,0.678431373,0.2,0.184313725
281,Shrub Cover = 81%,171,50,46,0.670588235,0.196078431,0.180392157
282,Shrub Cover = 82%,171,47,44,0.670588235,0.184313725,0.17254902
283,Shrub Cover = 83%,171,47,44,0.670588235,0.184313725,0.17254902
284,Shrub Cover = 84%,171,44,44,0.670588235,0.17254902,0.17254902
285,Shrub Cover = 85%,168,42,42,0.658823529,0.164705882,0.164705882
286,Shrub Cover = 86%,168,40,43,0.658823529,0.156862745,0.168627451
287,Shrub Cover = 87%,168,39,41,0.658823529,0.152941176,0.160784314
288,Shrub Cover = 88%,166,36,41,0.650980392,0.141176471,0.160784314
289,Shrub Cover = 89%,166,35,39,0.650980392,0.137254902,0.152941176
290,Shrub Cover = 90%,166,31,38,0.650980392,0.121568627,0.149019608
291,Shrub Cover = 91%,163,29,36,0.639215686,0.11372549,0.141176471
292,Shrub Cover = 92%,163,28,37,0.639215686,0.109803922,0.145098039
293,Shrub Cover = 93%,163,24,36,0.639215686,0.094117647,0.141176471
294,Shrub Cover = 94%,163,23,37,0.639215686,0.090196078,0.145098039
295,Shrub Cover = 95%,161,19,33,0.631372549,0.074509804,0.129411765
296,Shrub Cover = 96%,161,16,33,0.631372549,0.062745098,0.129411765
297,Shrub Cover = 97%,161,13,33,0.631372549,0.050980392,0.129411765
298,Shrub Cover = 98%,158,9,32,0.619607843,0.035294118,0.125490196
299,Shrub Cover >= 99%,158,0,32,0.619607843,0,0.125490196
310,Herb Cover = 10%,255,204,102,1,0.8,0.4
311,Herb Cover = 11%,255,204,102,1,0.8,0.4
312,Herb Cover = 12%,255,201,102,1,0.788235294,0.4
