"site_name","date","visit","plant_ID","Miner","GCS","GCS_damaged","GCS_lecan","Helmet","num_flatids","vine_cover","CBB","CBB_den","Obs_roya","roya","lecani","lecani_den","myco","myco_den","snail","snail_den","mite","mite_den"
"ADJU8","8/29/18",1,1,10,6,1,0,2,7,0,1,100,"A",65,0,0,3,0.12,0,0,0,0
"ADJU8","8/29/18",1,2,15,7,3,0,2,5,3,1,100,"A",86,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,3,9,0,0,0,0,13,8,3,100,"A",294,0,0,1,0.04,0,0,0,0
"ADJU8","8/29/18",1,4,3,6,3,0,0,2,25,3,100,"A",214,0,0,2,0.08,0,0,0,0
"ADJU8","8/29/18",1,5,15,7,5,3,1,6,1,5,100,"A",109,0,0,0,0,0,0,1,0.04
"ADJU8","8/29/18",1,6,6,5,4,0,1,26,80,2,100,"I",287,0,0,5,0.2,0,0,0,0
"ADJU8","8/29/18",1,7,10,6,4,3,1,1,30,4,100,"A",134,0,0,2,0.08,0,0,0,0
"ADJU8","8/29/18",1,8,11,0,0,0,0,2,1,77,100,"W",0,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,9,9,0,0,0,0,7,3,12,100,"W",84,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,10,14,0,0,0,0,3,80,14,100,"W",169,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,11,21,5,3,1,1,5,80,0,23,"W",91,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,12,5,4,2,1,2,4,5,5,100,"W",101,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,13,10,4,4,1,1,22,5,2,100,"I",119,0,0,3,0.12,0,0,2,0.08
"ADJU8","8/29/18",1,14,3,6,4,2,3,7,0,2,100,"I",126,0,0,1,0.04,0,0,1,0.04
"ADJU8","8/29/18",1,15,12,3,5,0,2,8,75,5,100,"I",128,0,0,4,0.16,0,0,0,0
"ADJU8","8/29/18",1,16,3,3,3,1,1,10,80,2,100,"I",161,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,17,3,4,3,0,3,16,80,3,100,"I",145,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,18,10,4,3,1,2,16,90,0,100,"W",172,0,0,0,0,0,0,0,0
"ADJU8","8/29/18",1,19,11,0,0,0,0,9,5,1,100,"G",137,1,0.04,1,0.04,0,0,1,0.04
"ADJU8","8/29/18",1,20,2,0,0,0,0,6,90,0,0,"W",93,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,1,0,9,9,0,9,0,0,0,10,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,2,2,9,9,0,9,0,0,0,0,"W",25,0,0,2,0.08,0,0,0,0
"MARI8*","8/30/18",1,3,19,7,4,0,9,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,4,3,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,5,2,9,5,0,9,0,0,0,19,"W",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,6,7,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,7,3,9,7,0,10,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,8,0,6,3,0,9,0,0,0,0,"W",9,0,0,1,0.111111111,0,0,0,0
"MARI8*","8/30/18",1,9,3,7,2,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,10,3,9,3,2,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,11,16,8,4,0,7,0,0,0,0,"W",44,0,0,0,0,0,0,1,0.04
"MARI8*","8/30/18",1,12,14,10,4,0,0,0,0,0,0,"W",9,0,0,2,0.222222222,0,0,0,0
"MARI8*","8/30/18",1,13,0,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,14,3,11,4,3,12,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,15,15,11,7,5,9,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,16,1,12,6,0,12,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,17,9,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,18,11,11,4,2,0,0,0,0,0,"I",63,0,0,2,0.08,3,0.12,1,0.04
"MARI8*","8/30/18",1,19,5,8,5,6,9,0,0,0,2,"I",0,0,0,0,0,0,0,0,0
"MARI8*","8/30/18",1,20,2,10,5,0,4,0,0,0,0,"I",90,0,0,2,0.08,1,0.04,3,0.12
"ADJU7","8/29/18",1,24,5,0,0,0,0,12,0,4,56,"I",3,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,25,0,0,0,5,4,1,20,0,100,"I",14,1,0.071428571,0,0,0,0,0,0
"ADJU7","8/29/18",1,34,1,0,0,0,0,12,5,5,100,"I",13,2,0.153846154,0,0,0,0,0,0
"ADJU7","8/29/18",1,41,11,0,2,5,3,26,80,0,100,"I",8,1,0.125,0,0,0,0,0,0
"ADJU7","8/29/18",1,44,1,0,0,0,0,7,0,15,100,"I",0,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,47,4,0,0,0,0,11,80,0,100,"I",68,3,0.12,0,0,0,0,0,0
"ADJU7","8/29/18",1,36,0,0,0,0,0,27,0,0,100,"I",17,6,0.352941176,0,0,0,0,0,0
"ADJU7","8/29/18",1,46,0,0,0,0,0,53,0,2,100,"I",0,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,9,2,0,0,4,6,7,75,6,100,"I",48,5,0.2,0,0,0,0,0,0
"ADJU7","8/29/18",1,3,0,0,0,0,0,54,1,0,100,"I",91,2,0.08,0,0,0,0,0,0
"ADJU7","8/29/18",1,1,3,0,3,6,5,47,0,0,44,"I",3,3,1,0,0,0,0,0,0
"ADJU7","8/29/18",1,14,1,0,0,0,0,13,5,6,100,"I",10,2,0.2,0,0,0,0,0,0
"ADJU7","8/29/18",1,13,1,0,0,5,5,25,2,0,100,"I",7,2,0.285714286,0,0,0,0,0,0
"ADJU7","8/29/18",1,20,2,0,0,0,0,12,5,3,100,"I",0,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,27,0,0,0,0,0,7,10,9,100,"I",0,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,31,2,0,0,0,0,17,95,13,100,"I",6,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,32,0,0,0,0,0,10,0,13,100,"I",8,2,0.25,0,0,0,0,0,0
"ADJU7","8/29/18",1,21,0,0,0,0,0,17,0,5,100,"I",45,1,0.04,0,0,0,0,0,0
"ADJU7","8/29/18",1,19,19,0,0,5,5,8,0,13,100,"I",5,0,0,0,0,0,0,0,0
"ADJU7","8/29/18",1,16,2,0,0,0,0,1,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,1,19,0,0,0,0,3,0,0,0,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,2,8,0,0,0,0,22,0,6,16,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,3,10,0,0,0,0,5,0,0,0,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,4,12,0,0,0,0,8,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,5,12,0,0,0,0,4,0,3,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,6,19,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,7,16,0,0,0,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,8,15,7,1,7,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,9,5,6,5,8,0,1,0,2,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,10,12,0,0,0,0,1,0,20,100,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,11,15,0,0,0,0,3,0,1,35,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,12,73,0,0,0,0,14,5,8,100,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,13,3,0,0,0,0,5,0,20,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,14,27,0,0,0,0,2,2,13,100,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,15,15,0,0,0,0,8,0,14,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,16,31,0,0,0,0,2,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,17,25,6,5,10,0,0,3,8,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,18,3,0,0,0,0,0,0,0,0,"I",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,19,33,4,2,2,0,8,0,10,100,"W",0,0,0,0,0,0,0,0,0
"LASM1*","8/30/18",1,20,13,0,0,0,0,7,0,12,100,"I",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,1,7,3,3,4,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,2,5,0,3,6,0,0,0,49,100,"I",0,0,0,0,0,0,0,0,0
"MARI2*","8/24/18",1,3,10,0,0,0,0,2,0,43,46,"I",33,0,0,0,0,0,0,0,0
