"Value","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
-9999,"NoData",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1
7191,"Recently Logged-Herb and Grass Cover","7191","2191","He Recently Logged-Herb and Grass Cover","Herb","Grassland","710","Transitional Herbaceous Vegetation","LF 62: Recently Logged-Herbaceous","Herbaceous/Nonvascular-dominated","Herbaceous-grassland","Perennial graminoid grassland",255,68,25,1,0.266666666667,0.0980392156863
7192,"Recently Logged-Shrub Cover","7192","2192","Sh Recently Logged-Shrub Cover","Shrub","Shrubland","720","Transitional Shrub Vegetation","LF 63: Recently Logged-Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,68,25,1,0.266666666667,0.0980392156863
7292,"Open Water","7292","11","Ba Open Water","Water","Open Water","11","Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1
7295,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","7295","32","Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","32","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901960784314,0.909803921569,0.980392156863
7296,"Developed-Low Intensity","7296","2902","Bau Developed-Low Intensity","Developed","Developed-Low Intensity","22","Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431372549,0.560784313725
7297,"Developed-Medium Intensity","7297","2903","Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity","23","Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992156862745,0.172549019608,0.309803921569
7298,"Developed-High Intensity","7298","2904","Bau Developed-High Intensity","Developed","Developed-High Intensity","24","Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431372549,0,0.109803921569
7299,"Developed-Roads","7299","2905","Bau Developed-Roads","Developed","Developed-Roads","25","Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",0,0,0,0,0,0
7300,"Developed-Open Space","7300","2901","Bau Developed-Open Space","Developed","Developed","21","Developed-Open Space","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","No Dominant Lifeform",52,52,52,0.203921568627,0.203921568627,0.203921568627
7754,"Agriculture-Pasture and Hay","7754","81","Dab Agriculture-Pasture and Hay","Herb","Agricultural","81","Agriculture-Pasture and Hay","LF 80: Agriculture","Herbaceous/Nonvascular-dominated","Herbaceous-grassland","Perennial graminoid grassland",227,212,28,0.890196078431,0.83137254902,0.109803921569
7755,"Agriculture-Cultivated Crops and Irrigated Agriculture","7755","82","Da Agriculture-Cultivated Crops and Irrigated Agriculture","Agriculture","Agricultural","82","Agriculture-Cultivated Crops and Irrigated Agriculture","LF 80: Agriculture","Herbaceous/Nonvascular-dominated","Herbaceous-grassland","Annual Graminoid/Forb",250,255,119,0.980392156863,1,0.466666666667
7838,"Caribbean Bush fruit and berries","7838","2962","Dab Bush Fruit and Berries","Shrub","Agricultural","62","Agricultural-Bush fruit and berries","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",210,28,119,0.823529411765,0.109803921569,0.466666666667
