"farm","radius","coastal_veg","coffee","developed","forest","mines","past/grass","shrub","water","no_data"
"UTUA2","100",0.200626894831657,0.157790511846542,0.243998900055885,0.258421003818512,0.139162689447403,0,0,0,0
"UTUA5","100",0.312759190797806,0.200254186987877,0.439656019210815,0.0473306439816952,0,0,0,0,0
"YAUC3","100",0.0286609847098589,0,0,0.0286609847098589,0,0,0.942678034305573,0,0
"JUAN1","100",0,0,1,0,0,0,0,0,0
"LASM1*","100",0.0147957280278206,0,0.412263631820679,0.572701156139374,0.000239493703702465,0,0,0,0
"YAUC4*","100",0,0,0,0,0.000373152579413727,0,0.999626874923706,0,0
"UTUA10","100",0,0.0936640128493309,0.739668130874634,0,0.166667893528938,0,0,0,0
"LASM2","100",0.0781995877623558,0.0972784832119942,0.64046972990036,0.0994433909654617,0.084608867764473,0,0,0,0
"LASM3","100",0,0.443916589021683,0.43750536441803,0,0.118578098714352,0,0,0,0
"JUAN7*","100",0,0,0.725769817829132,0,0.27423021197319,0,0,0,0
"MARI8*","100",0.971338987350464,0,0,0.0286609847098589,0,0,0,0,0
"PONC1*","100",0,0,0.748371779918671,0.243345364928246,0.008282913826406,0,0,0,0
"UTUA16*","100",0,0.0729174762964249,0.817548274993896,0,0.109534233808517,0,0,0,0
"UTUA17*","100",0.0594509430229664,0.275426894426346,0.158843785524368,0,0.506278395652771,0,0,0,0
"UTUA18","100",0,0.102725028991699,0.792351305484772,0,0.104923710227013,0,0,0,0
"UTUA20*","100",0,0,0.934119641780853,0,0.0658803284168243,0,0,0,0
"UTUA30*","100",0,0.14330492913723,0.64836859703064,0,0.208326548337936,0,0,0,0
"JAYU2","100",0.161477401852608,0.0218556877225637,0.388803482055664,0.257564216852188,0.170299232006073,0,0,0,0
"JAYU3","100",0.330828368663788,0.205923527479172,0.0461172722280025,0.029933262616396,0.387197613716125,0,0,0,0
"UTUA13","100",0.703639507293701,0,0.0111480979248881,0.285212397575378,0,0,0,0,0
"ADJU7","100",0,0,0.151094824075699,0.486521929502487,0.102496244013309,0.231615334749222,0.0282717160880566,0,0
"ADJU8","100",0.549546957015991,0.190372750163078,0.252238899469376,0,0.00784141104668379,0,0,0,0
"OROC1","100",0,0.0591614842414856,0.89305716753006,0,0.0223377160727978,0,0.0254437103867531,0,0
"MARI2*","100",0.510280132293701,0.00036087995977141,0.182793587446213,0.306565403938293,0,0,0,0,0
"MARI3*","100",0.645079612731934,0,0.1261176019907,0.228802815079689,0,0,0,0,0
"ADJUCP","100",0,0,0.970479130744934,0,0.0295208655297756,0,0,0,0
"UTUA2","200",0.0644872188568115,0.102531485259533,0.523843944072723,0.113981947302818,0.195155456662178,0,0,0,0
"UTUA5","200",0.109830036759377,0.217264547944069,0.599114418029785,0.0462351813912392,0.0275558903813362,0,0,0,0
"YAUC3","200",0.00717010488733649,0.0357893258333206,0,0.00716524617746472,0.00983844883739948,0,0.94003689289093,0,0
"JUAN1","200",0,0,0.928781151771545,0.00304374075494707,0.0361343808472157,0,0.0320407003164291,0,0
"LASM1*","200",0.0286609847098589,0.0467514358460903,0.685133934020996,0.201326847076416,0.0381268821656704,0,0,0,0
"YAUC4*","200",0.0304846446961164,0,0,0.00363308400847018,0.0478200502693653,0,0.918062269687653,0,0
"UTUA10","200",0,0.0929804965853691,0.823681354522705,0,0.0833381414413452,0,0,0,0
"LASM2","200",0.0286609847098589,0.0977542474865913,0.636193335056305,0.0358262322843075,0.163224563002586,0,0,0.0383406691253185,0
"LASM3","200",0.00366816599853337,0.247161939740181,0.633327901363373,0.0251138862222433,0.0907281339168549,0,0,0,0
"JUAN7*","200",0,0.0013304112944752,0.743562161922455,0,0.255107462406158,0,0,0,0
"MARI8*","200",0.902184128761292,0.00949467997997999,0,0.0220258701592684,0.0662953183054924,0,0,0,0
"PONC1*","200",0,0.00858410634100437,0.826100528240204,0.108173184096813,0.0571422167122364,0,0,0,0
"UTUA16*","200",0,0.138691410422325,0.687951505184174,0,0.173357099294662,0,0,0,0
"UTUA17*","200",0.131845712661743,0.118735887110233,0.377908229827881,0.00199409783817828,0.369516104459763,0,0,0,0
"UTUA18","200",0,0.1000170186162,0.685175657272339,0,0.214807331562042,0,0,0,0
"UTUA20*","200",0,0,0.928406476974487,0,0.0715935379266739,0,0,0,0
"UTUA30*","200",0,0.0859829559922218,0.815699338912964,0,0.0983177125453949,0,0,0,0
"JAYU2","200",0.141964435577393,0.176091983914375,0.327860832214355,0.122982203960419,0.231100559234619,0,0,0,0
"JAYU3","200",0.221204951405525,0.201587617397308,0.183577015995979,0.0701410844922066,0.323489397764206,0,0,0,0
"UTUA13","200",0.442225813865662,0.00716524617746472,0.203851565718651,0.309220880270004,0.0375365354120731,0,0,0,0
"ADJU7","200",0.0453125983476639,0.0363020151853561,0.167125284671783,0.193518698215485,0.147582814097404,0.402993381023407,0.00716524617746472,0,0
"ADJU8","200",0.443946719169617,0.0772011131048203,0.442645817995071,0.00716524617746472,0.0290411431342363,0,0,0,0
"OROC1","200",0.00438705226406455,0.134472846984863,0.568491399288177,0.0202087368816137,0.0785860866308212,0,0.193853855133057,0,0
"MARI2*","200",0.285012513399124,0.00716524617746472,0.362095773220062,0.345726519823074,0,0,0,0,0
