"farm","radius","coffee","developed","forest","past/grass","shrub","water"
"ADJU7","100",0.486521929502487,0.102496244013309,0.179366543889046,0,0,0.231615334749222
"ADJU8","100",0.549546957015991,0.00784141104668379,0.252238899469376,0.190372750163078,0,0
"ADJUCP","100",0,0.0295208655297756,0.970479130744934,0,0,0
"JAYU2","100",0.419041633605957,0.170299232006073,0.388803482055664,0.0218556877225637,0,0
"JAYU3","100",0.360761612653732,0.387197613716125,0.0461172722280025,0.173169672489166,0.0327538549900055,0
"JUAN1","100",0,0,1,0,0,0
"JUAN7*","100",0,0.27423021197319,0.725769817829132,0,0,0
"LASM1*","100",0.587496876716614,0.000239493703702465,0.412263631820679,0,0,0
"LASM2","100",0.177642986178398,0.084608867764473,0.64046972990036,0.0972784832119942,0,0
"LASM3","100",0,0.118578098714352,0.43750536441803,0.443916589021683,0,0
"MARI2*","100",0.816845536231995,0,0.182793587446213,0.00036087995977141,0,0
"MARI3*","100",0.873882412910461,0,0.1261176019907,0,0,0
"MARI8*","100",1,0,0,0,0,0
"OROC1","100",0,0.0223377160727978,0.918500781059265,0.0591614842414856,0,0
"PONC1*","100",0.243345364928246,0.008282913826406,0.748371779918671,0,0,0
"UTUA10","100",0,0.166667893528938,0.739668130874634,0.0936640128493309,0,0
"UTUA13","100",0.988851964473724,0,0.0111480979248881,0,0,0
"UTUA16*","100",0,0.109534233808517,0.817548274993896,0.0557220801711082,0.0171953979879618,0
"UTUA17*","100",0.0594509430229664,0.506278395652771,0.158843785524368,0.275426894426346,0,0
"UTUA18","100",0,0.104923710227013,0.792351305484772,0.102725028991699,0,0
"UTUA2","100",0.459047913551331,0.139162689447403,0.243998900055885,0.129129514098167,0.0286609847098589,0
"UTUA20*","100",0,0.0658803284168243,0.934119641780853,0,0,0
"UTUA30*","100",0,0.208326548337936,0.64836859703064,0.114643938839436,0.0286609847098589,0
"UTUA5","100",0.360089808702469,0,0.439656019210815,0.200254186987877,0,0
"YAUC3","100",0.0573219694197178,0,0.942678034305573,0,0,0
"YAUC4*","100",0,0.000373152579413727,0.999626874923706,0,0,0
"YAUC5*","100",0,0.115106552839279,0.884893476963043,0,0,0
"ADJU7","200",0.238831281661987,0.147582814097404,0.174290537834167,0.0363020151853561,0,0.402993381023407
"ADJU8","200",0.451111972332001,0.0290411431342363,0.442645817995071,0.0772011131048203,0,0
"ADJUCP","200",0.0127691524103284,0.0927985161542892,0.894432365894318,0,0,0
"JAYU2","200",0.264946639537811,0.231100559234619,0.327860832214355,0.132421582937241,0.0436704084277153,0
"JAYU3","200",0.29134601354599,0.323489397764206,0.183577015995979,0.174793437123299,0.0267941728234291,0
"JUAN1","200",0.00304374075494707,0.0361343808472157,0.96082192659378,0,0,0
"JUAN7*","200",0,0.255107462406158,0.743562161922455,0.0013304112944752,0,0
"LASM1*","200",0.22998782992363,0.0381268821656704,0.685133934020996,0.0467514358460903,0,0
"LASM2","200",0.0644872188568115,0.163224563002586,0.636193335056305,0.13609491288662,0,0
"LASM3","200",0.0287820510566235,0.0907281339168549,0.633327901363373,0.232831448316574,0.0143304923549294,0
"MARI2*","200",0.630739033222198,0,0.362095773220062,0.00716524617746472,0,0
"MARI3*","200",0.675931215286255,0.0367183424532413,0.287350505590439,0,0,0
"MARI8*","200",0.924210071563721,0.0662953183054924,0,0.00949467997997999,0,0
"OROC1","200",0.0245957896113396,0.0785860866308212,0.762345314025879,0.132113948464394,0.00235890853218734,0
"PONC1*","200",0.108173184096813,0.0571422167122364,0.826100528240204,0.00858410634100437,0,0
"UTUA10","200",0,0.0833381414413452,0.823681354522705,0.0929630622267723,1.74363685800927e-05,0
"UTUA13","200",0.751446664333344,0.0375365354120731,0.203851565718651,0.00716524617746472,0,0
"UTUA16*","200",0,0.173357099294662,0.687951505184174,0.117195673286915,0.0214957389980555,0
"UTUA17*","200",0.133839800953865,0.369516104459763,0.377908229827881,0.118735887110233,0,0
"UTUA18","200",0,0.214807331562042,0.685175657272339,0.1000170186162,0,0
"UTUA2","200",0.178469151258469,0.195155456662178,0.523843944072723,0.0715349093079567,0.0309965759515762,0
"UTUA20*","200",0,0.0715935379266739,0.928406476974487,0,0,0
"UTUA30*","200",0,0.0983177125453949,0.815699338912964,0.0788177102804184,0.00716524617746472,0
"UTUA5","200",0.156065210700035,0.0275558903813362,0.599114418029785,0.202934056520462,0.0143304923549294,0
"YAUC3","200",0.0143353510648012,0.00983844883739948,0.94003689289093,0.0320702604949474,0.00371906370855868,0
"YAUC4*","200",0.034117728471756,0.0478200502693653,0.918062269687653,0,0,0
"YAUC5*","200",0,0.086897611618042,0.891896605491638,0.0212058648467064,0,0
"ADJU7","300",0.26511612534523,0.165799126029015,0.119007639586926,0.022866303101182,0,0.427210777997971
"ADJU8","300",0.432178854942322,0.0241419542580843,0.464248359203339,0.0794307962059975,0,0
"ADJUCP","300",0.0511981770396233,0.112606339156628,0.820051908493042,0.00977441947907209,0.00636910740286112,0
"JAYU2","300",0.183810025453568,0.195124536752701,0.46171972155571,0.133436918258667,0.0259087923914194,0
"JAYU3","300",0.284509271383286,0.31735497713089,0.225681483745575,0.143793240189552,0.0286609828472137,0
"JUAN1","300",0.0419680736958981,0.0353194512426853,0.920186340808868,0.00252610654570162,0,0
"JUAN7*","300",0,0.255414485931396,0.721598207950592,0.0229872670024633,0,0
"LASM1*","300",0.165375486016273,0.0692037642002106,0.719680964946747,0.0446215979754925,0.00111815589480102,0
"LASM2","300",0.0399945788085461,0.111786797642708,0.676125049591064,0.17209355533123,0,0
"LASM3","300",0.0308701861649752,0.0855431780219078,0.767824292182922,0.109393201768398,0.00636910740286112,0
"MARI2*","300",0.585041522979736,0.008843376301229,0.394227772951126,0.0118872849270701,0,0
"MARI3*","300",0.565516710281372,0.082183413207531,0.33352193236351,0.00989407673478127,0.0088838180527091,0
"MARI8*","300",0.856893062591553,0.0872403159737587,0.0370247811079025,0.0188418291509151,0,0
"OROC1","300",0.0352278724312782,0.0996128246188164,0.720946073532104,0.141028687357903,0.00318455370143056,0
"PONC1*","300",0.071243092417717,0.0508131459355354,0.845947325229645,0.0319964215159416,0,0
"UTUA10","300",0,0.0748462527990341,0.851940393447876,0.0624664537608624,0.0107468198984861,0
"UTUA13","300",0.578916072845459,0.0715180188417435,0.343196779489517,0.00636910740286112,0,0
"UTUA16*","300",0,0.203147679567337,0.696961164474487,0.0871529281139374,0.0127382148057222,0
"UTUA17*","300",0.176007822155952,0.238466143608093,0.48466283082962,0.10086315125227,0,0
"UTUA18","300",0,0.153565257787704,0.748970448970795,0.0974642485380173,0,0
"UTUA2","300",0.0889248996973038,0.231162458658218,0.527438700199127,0.133366599678993,0.0191073212772608,0
"UTUA20*","300",0,0.0350373759865761,0.953043103218079,0.0119194714352489,0,0
"UTUA30*","300",0,0.0625020861625671,0.895704627037048,0.0355966798961163,0.00619656685739756,0
"UTUA5","300",0.147339195013046,0.031845536082983,0.687122583389282,0.127292901277542,0.00639972509816289,0
"YAUC3","300",0.045459508895874,0.063806839287281,0.814342081546783,0.0636533349752426,0.0127382148057222,0
"YAUC4*","300",0.120508067309856,0.0368362963199615,0.842655539512634,0,0,0
"YAUC5*","300",0,0.0764659345149994,0.904426753520966,0.0191073212772608,0,0
"ADJU7","400",0.276678055524826,0.107142932713032,0.144965708255768,0.0179131161421537,0.000664011749904603,0.452636212110519
"ADJU8","400",0.407158970832825,0.0392509400844574,0.468850255012512,0.0808944702148438,0.00384541950188577,0
"ADJUCP","400",0.0380164980888367,0.151141673326492,0.776211380958557,0.0292565729469061,0.00537393474951386,0
"JAYU2","400",0.155434936285019,0.196513682603836,0.488895773887634,0.132062166929245,0.0270934998989105,0
"JAYU3","400",0.330484986305237,0.311467528343201,0.192914307117462,0.145031824707985,0.0201014187186956,0
"JUAN1","400",0.123821280896664,0.0270413141697645,0.830613613128662,0.0167325623333454,0.00179131154436618,0
"JUAN7*","400",0,0.185711026191711,0.794353127479553,0.019935866817832,0,0
"LASM1*","400",0.132964372634888,0.0706739574670792,0.755564391613007,0.035423319786787,0.00537393474951386,0
"LASM2","400",0.0422211736440659,0.10318174213171,0.719792008399963,0.134805098176003,0,0
"LASM3","400",0.0318821966648102,0.0838805660605431,0.812584817409515,0.0680698379874229,0.00358262308873236,0
"MARI2*","400",0.494613707065582,0.0186870973557234,0.463093876838684,0.0182313993573189,0.00537393474951386,0
"MARI3*","400",0.45454615354538,0.104504533112049,0.380448937416077,0.0551264882087708,0.00537393474951386,0
"MARI8*","400",0.795307040214539,0.0958416387438774,0.0862477347254753,0.0226036515086889,0,0
"OROC1","400",0.0373874306678772,0.0785655006766319,0.710197448730469,0.172058343887329,0.00179131154436618,0
"PONC1*","400",0.0483654104173183,0.0374106541275978,0.88735431432724,0.026869673281908,0,0
"UTUA10","400",0.006223916541785,0.0552265793085098,0.870641350746155,0.0566088892519474,0.0112992944195867,0
"UTUA13","400",0.435712814331055,0.0686002150177956,0.488900303840637,0.00537393474951386,0.00141278107184917,0
"UTUA16*","400",0,0.157736271619797,0.76838892698288,0.0667096301913261,0.00716524617746472,0
"UTUA17*","400",0.126372963190079,0.167369186878204,0.607767343521118,0.0966992452740669,0.00179131154436618,0
"UTUA18","400",0.00636158650740981,0.149489536881447,0.762422919273376,0.0797498151659966,0.00197614962235093,0
"UTUA2","400",0.0794653967022896,0.207957744598389,0.583602964878082,0.11822609603405,0.0107478694990277,0
"UTUA20*","400",0.0269012060016394,0.0407216213643551,0.903384268283844,0.0254103541374207,0.00358262308873236,0
"UTUA30*","400",0,0.0504397042095661,0.887437462806702,0.05321179702878,0.00891101453453302,0
"UTUA5","400",0.160410210490227,0.0179636497050524,0.737328171730042,0.0789240449666977,0.00537393474951386,0
"YAUC3","400",0.118704743683338,0.0595002509653568,0.778743147850037,0.0358865968883038,0.00716524617746472,0
"YAUC4*","400",0.170680984854698,0.031367301940918,0.796160399913788,0.00179131154436618,0,0
"YAUC5*","400",0.00194968399591744,0.056238166987896,0.931064367294312,0.0107478694990277,0,0
"ADJU7","500",0.252137631177902,0.0828118324279785,0.184862330555916,0.0280180033296347,0.00229287869296968,0.449877321720123
"ADJU8","500",0.367968827486038,0.041219424456358,0.502576410770416,0.0813567042350769,0.00687863631173968,0
"ADJUCP","500",0.0252216663211584,0.162421017885208,0.761560142040253,0.0473578944802284,0.00343931815586984,0
"JAYU2","500",0.142530664801598,0.194038227200508,0.523277938365936,0.120663732290268,0.0194894690066576,0
"JAYU3","500",0.304198890924454,0.284315556287766,0.262656897306442,0.134606748819351,0.0142219448462129,0
"JUAN1","500",0.101805560290813,0.0315401032567024,0.848153412342072,0.0173544883728027,0.00114643934648484,0
"JUAN7*","500",0.000210448779398575,0.134688153862953,0.839168548583984,0.0259328503161669,0,0
"LASM1*","500",0.101514890789986,0.0761131122708321,0.787465989589691,0.0314666926860809,0.00343931815586984,0
"LASM2","500",0.0477477088570595,0.0939350351691246,0.756092429161072,0.102224811911583,0,0
"LASM3","500",0.0461788065731525,0.0861132144927979,0.819557547569275,0.0458575747907162,0.00229287869296968,0
"MARI2*","500",0.413240522146225,0.0359984040260315,0.527870059013367,0.0194517038762569,0.00343931815586984,0
"MARI3*","500",0.36181378364563,0.0996941104531288,0.475924968719482,0.0579813607037067,0.00458575738593936,0
"MARI8*","500",0.732208847999573,0.0902228355407715,0.126384988427162,0.0511833168566227,0,0
"OROC1","500",0.0378303043544292,0.0638690143823624,0.727432310581207,0.162554562091827,0.008313805796206,0
"PONC1*","500",0.0309538636356592,0.0480666793882847,0.895042836666107,0.0259366016834974,0,0
"UTUA10","500",0.0499127842485905,0.0521731674671173,0.822925508022308,0.0634276568889618,0.0115608843043447,0
"UTUA13","500",0.355426013469696,0.0633710399270058,0.560908138751984,0.0157292447984219,0.00456551974639297,0
"UTUA16*","500",0,0.1431764960289,0.798617124557495,0.0536206103861332,0.00458575738593936,0
"UTUA17*","500",0.110898233950138,0.126617327332497,0.68100517988205,0.0803327709436417,0.00114643934648484,0
"UTUA18","500",0.0132814608514309,0.123131237924099,0.761148393154144,0.100146017968655,0.00229287869296968,0
"UTUA2","500",0.0749360248446465,0.159253388643265,0.670656085014343,0.0882758274674416,0.00687863631173968,0
"UTUA20*","500",0.07000782340765,0.0346620343625546,0.846800744533539,0.0428854115307331,0.00564397452399135,0
"UTUA30*","500",0,0.0529177151620388,0.884253859519958,0.0548033379018307,0.00802507530897856,0
"UTUA5","500",0.157863929867744,0.0315626040101051,0.729984045028687,0.0737282484769821,0.00686115492135286,0
"YAUC3","500",0.15522588789463,0.0529669560492039,0.738885819911957,0.0460426807403564,0.00687863631173968,0
"YAUC4*","500",0.201086163520813,0.027108957991004,0.769511997699738,0.00229287869296968,0,0
